Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768335456,77.26,77.26,77.26,77.26,0.12800000,13/01/2026 21:17:36
1768335457,77.25,77.26,77.25,77.26,3.57200000,13/01/2026 21:17:37
1768335458,77.25,77.25,77.24,77.24,13.05600000,13/01/2026 21:17:38
1768335459,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:39
1768335460,77.24,77.24,77.24,77.24,0.31000000,13/01/2026 21:17:40
1768335461,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:41
1768335462,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:42
1768335463,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:43
1768335464,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:44
1768335465,77.24,77.24,77.24,77.24,0.68900000,13/01/2026 21:17:45
1768335466,77.24,77.24,77.24,77.24,0.38900000,13/01/2026 21:17:46
1768335467,77.24,77.24,77.24,77.24,1.66600000,13/01/2026 21:17:47
1768335468,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:48
1768335469,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:49
1768335470,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:50
1768335471,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:51
1768335472,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:52
1768335473,77.23,77.23,77.23,77.23,4.63800000,13/01/2026 21:17:53
1768335474,77.23,77.23,77.23,77.23,0.00000000,13/01/2026 21:17:54
1768335475,77.23,77.23,77.23,77.23,0.13000000,13/01/2026 21:17:55
1768335476,77.23,77.23,77.23,77.23,0.36200000,13/01/2026 21:17:56
1768335477,77.23,77.23,77.23,77.23,0.72900000,13/01/2026 21:17:57
1768335478,77.23,77.23,77.23,77.23,12.12000000,13/01/2026 21:17:58
1768335479,77.23,77.23,77.23,77.23,0.00000000,13/01/2026 21:17:59
1768335480,77.23,77.23,77.23,77.23,0.21900000,13/01/2026 21:18:00
1768335481,77.22,77.22,77.22,77.22,0.15600000,13/01/2026 21:18:01
1768335482,77.22,77.22,77.22,77.22,0.00000000,13/01/2026 21:18:02
1768335483,77.23,77.23,77.23,77.23,8.65200000,13/01/2026 21:18:03
1768335484,77.23,77.23,77.23,77.23,2.87500000,13/01/2026 21:18:04
1768335485,77.24,77.24,77.23,77.23,53.98500000,13/01/2026 21:18:05
1768335486,77.23,77.23,77.23,77.23,0.00000000,13/01/2026 21:18:06
1768335487,77.23,77.23,77.23,77.23,0.85600000,13/01/2026 21:18:07
1768335488,77.23,77.23,77.23,77.23,0.00000000,13/01/2026 21:18:08
1768335489,77.23,77.23,77.23,77.23,3.39900000,13/01/2026 21:18:09
1768335490,77.23,77.23,77.23,77.23,0.00000000,13/01/2026 21:18:10
1768335491,77.23,77.23,77.23,77.23,0.00000000,13/01/2026 21:18:11
1768335492,77.22,77.22,77.22,77.22,0.11000000,13/01/2026 21:18:12
1768335493,77.22,77.22,77.22,77.22,0.28600000,13/01/2026 21:18:13
1768335494,77.22,77.22,77.22,77.22,0.00000000,13/01/2026 21:18:14
1768335495,77.22,77.22,77.22,77.22,0.00000000,13/01/2026 21:18:15
1768335496,77.22,77.22,77.22,77.22,0.00000000,13/01/2026 21:18:16
1768335497,77.22,77.22,77.22,77.22,4.13600000,13/01/2026 21:18:17
1768335498,77.22,77.22,77.22,77.22,0.00000000,13/01/2026 21:18:18
1768335499,77.22,77.22,77.22,77.22,0.00000000,13/01/2026 21:18:19
1768335500,77.22,77.22,77.22,77.22,0.00000000,13/01/2026 21:18:20
1768335501,77.23,77.23,77.23,77.23,10.85400000,13/01/2026 21:18:21
1768335502,77.23,77.23,77.23,77.23,0.00000000,13/01/2026 21:18:22
1768335503,77.23,77.24,77.23,77.24,1.18000000,13/01/2026 21:18:23
1768335504,77.25,77.27,77.25,77.27,17.24400000,13/01/2026 21:18:24
